Test Id,Test scenario,Test case,Priority,Request type,Request URL,Body,Update body,Test steps,Expected status code,Error,Validate,Expected result,Actual result,Status,Comments
po_sanity_11,"Validate ""Create Trigger By Story"" API","Verify if all parameters are as expected in the ""Create Trigger By Story"" API response.",P0,POST,{{baseUrl}}/api/v1/optimization_schedules/{{story_id}},-,,"	Scenario: po_sanity_11: Verify if all parameters are as expected in the ""Create Trigger By Story"" API response.
		Given Get data from CSV for ""po_sanity_11""
		When I set api endpoint to ""create_trigger_by_story""
		And Set the body of request to ""blank""
		And Perform post
		Then Validate HTTP response code ""from csv""
		And Validate ""create_trigger_by_story"" response
		When I set api endpoint to ""delete_schedule_by_story""
		And Perform delete
		Then Validate HTTP response code ""200""",201,,,"{""id"":693,""story_id"":1001104,""cron"":null,""last_dag_run"":null,""manual_trigger"":true,""start_time"":null,""frequency_launch"":null}",,,98-105
po_sanity_12,"Validate ""Read Schedule By Story"" API","Verify if all parameters are as expected in the ""Read Schedule By Story"" API response.",P0,GET,{{baseUrl}}/api/v1/optimization_schedules/{{story_id}},,,"	Scenario: po_sanity_12: Verify if all parameters are as expected in the ""Read Schedule By Story"" API response.
		Given Get data from CSV for ""po_sanity_10""
		When Set the frequency_launch to ""1"" and start_time to ""14:00""
		And I set api endpoint to ""set_optimization_schedules""
		And Set the body of request to ""body""
		And Perform post
		Given Get data from CSV for ""po_sanity_12""
		When I set api endpoint to ""read_schedule_by_story""
		And Perform get
		Then Validate HTTP response code ""from csv""
		And Validate ""set_optimization_schedules"" response
		When I set api endpoint to ""delete_schedule_by_story""
		And Perform delete
		Then Validate HTTP response code ""200""",200,,,"{""id"":692,""story_id"":1001104,""cron"":""30 8 * * *"",""last_dag_run"":null,""manual_trigger"":false,""start_time"":""14:00"",""frequency_launch"":1}",,,106-113
po_sanity_13,"Validate ""Delete Schedule By Story"" API","Validate if creatd Schedule is getting deleted using ""Delete Schedule By Story"" API",P0,DELETE,{{baseUrl}}/api/v1/optimization_schedules/{{story_id}},-,,"	Scenario: po_sanity_13: Validate if creatd Schedule is getting deleted using ""Delete Schedule By Story"" API.
		Given Get data from CSV for ""po_sanity_10""
		When Set the frequency_launch to ""1"" and start_time to ""14:00""
		And I set api endpoint to ""set_optimization_schedules""
		And Set the body of request to ""body""
		And Perform post
		Given Get data from CSV for ""po_sanity_13""
		When I set api endpoint to ""delete_schedule_by_story""
		And Perform delete
		Then Validate HTTP response code ""from csv""
		And Validate ""delete_schedule_by_story"" response
		When I set api endpoint to ""read_schedule_by_story""
		And Perform get
		Then Validate HTTP response code ""from csv""
		And Validate ""delete_schedule_by_story"" response",200,,,null,,,114-115
po_sanity_14,"Validate ""Set Phases By Fb Id"" API","Verify if all parameters are as expected in the ""Set Phases By Fb Id"" API response.",P0,POST,{{baseUrl}}/api/v1/phases/?fb_id={{fb_id}},"[{""name"":""observation"",""starts_at"":11,""lower_confidence_score"":10,""upper_confidence_score"":20,""ends_at"":5,""phase_id"":""phase1""},{""name"":""recommendation"",""starts_at"":1,""lower_confidence_score"":21,""upper_confidence_score"":30,""ends_at"":5,""phase_id"":""phase2""},{""name"":""calibration"",""starts_at"":1,""lower_confidence_score"":31,""upper_confidence_score"":59,""ends_at"":5,""phase_id"":""phase3""},{""name"":""incubation"",""starts_at"":1,""lower_confidence_score"":60,""upper_confidence_score"":79,""ends_at"":5,""phase_id"":""phase4""},{""name"":""exploration"",""starts_at"":1,""lower_confidence_score"":80,""upper_confidence_score"":99,""ends_at"":5,""phase_id"":""phase5""}]",,"	Scenario: po_sanity_14: Verify if all parameters are as expected in the ""Set Phases By Fb Id"" API response.
		Given Get data from CSV for ""po_sanity_14""
		When Set the ad account id to ""361359502489563""
		And I set api endpoint to ""set_phases_by_fb_id""
		And Set the body of request to ""body""
		And Perform post
		Then Validate HTTP response code ""from csv""
		And Validate phase response",201,,,"[{""name"":""observation"",""starts_at"":11,""lower_confidence_score"":10,""upper_confidence_score"":20,""ends_at"":5,""id"":334,""phase_id"":""phase1"",""ad_account_id"":238,""fb_id"":""361359502489563"",""action_execution_enabled"":false},{""name"":""recommendation"",""starts_at"":1,""lower_confidence_score"":21,""upper_confidence_score"":30,""ends_at"":5,""id"":335,""phase_id"":""phase2"",""ad_account_id"":238,""fb_id"":""361359502489563"",""action_execution_enabled"":false},{""name"":""calibration"",""starts_at"":1,""lower_confidence_score"":31,""upper_confidence_score"":59,""ends_at"":5,""id"":336,""phase_id"":""phase3"",""ad_account_id"":238,""fb_id"":""361359502489563"",""action_execution_enabled"":true},{""name"":""incubation"",""starts_at"":1,""lower_confidence_score"":60,""upper_confidence_score"":79,""ends_at"":5,""id"":337,""phase_id"":""phase4"",""ad_account_id"":238,""fb_id"":""361359502489563"",""action_execution_enabled"":true},{""name"":""exploration"",""starts_at"":1,""lower_confidence_score"":80,""upper_confidence_score"":99,""ends_at"":5,""id"":338,""phase_id"":""phase5"",""ad_account_id"":238,""fb_id"":""361359502489563"",""action_execution_enabled"":true}]",,,116-124
po_sanity_15,"Validate ""Update Phase"" API","Verify if all parameters are as expected in the ""Update Phase"" API response.",P0,PUT,{{baseUrl}}/api/v1/phases/{{fb_id}}?phase_id={{phase_id}},"{""name"":""observation"",""starts_at"":1,""lower_confidence_score"":0,""upper_confidence_score"":20,""ends_at"":7}",,"	Scenario: po_sanity_15: Verify if all parameters are as expected in the ""Update Phase"" API response.
		Given Get data from CSV for ""po_sanity_15""
		When Set the ad account id to ""361359502489563""
		And I set api endpoint to ""update_phase""
		And Set the body of request to ""body""
		And Perform put
		Then Validate HTTP response code ""from csv""
		And Validate phase response",200,,,"{""name"":""observation"",""starts_at"":1,""lower_confidence_score"":0,""upper_confidence_score"":20,""ends_at"":7,""id"":334,""phase_id"":""phase1"",""ad_account_id"":238,""fb_id"":""361359502489563"",""action_execution_enabled"":false}",,,125-133
po_sanity_16,"Validate ""Read Phases By Fb Id"" API","Verify if all parameters are as expected in the ""Read Phases By Fb Id"" API response.",P0,GET,{{baseUrl}}/api/v1/phases/{{fb_id}},,,"	Scenario: po_sanity_16: Verify if all parameters are as expected in the ""Read Phases By Fb Id"" API response.
		Given Get data from CSV for ""po_sanity_14""
		When Set the ad account id to ""361359502489563""
		And I set api endpoint to ""set_phases_by_fb_id""
		And Set the body of request to ""body""
		And Perform post
		Given Get data from CSV for ""po_sanity_16""
		When I set api endpoint to ""read_phases_by_fb_id""
		And Perform get
		Then Validate HTTP response code ""from csv""
		And Validate phase response",200,,,"[{""name"":""observation"",""starts_at"":1,""lower_confidence_score"":0,""upper_confidence_score"":20,""ends_at"":7,""id"":334,""phase_id"":""phase1"",""ad_account_id"":238,""fb_id"":""361359502489563"",""action_execution_enabled"":false},{""name"":""recommendation"",""starts_at"":1,""lower_confidence_score"":21,""upper_confidence_score"":30,""ends_at"":5,""id"":335,""phase_id"":""phase2"",""ad_account_id"":238,""fb_id"":""361359502489563"",""action_execution_enabled"":false},{""name"":""calibration"",""starts_at"":1,""lower_confidence_score"":31,""upper_confidence_score"":59,""ends_at"":5,""id"":336,""phase_id"":""phase3"",""ad_account_id"":238,""fb_id"":""361359502489563"",""action_execution_enabled"":true},{""name"":""incubation"",""starts_at"":1,""lower_confidence_score"":60,""upper_confidence_score"":79,""ends_at"":5,""id"":337,""phase_id"":""phase4"",""ad_account_id"":238,""fb_id"":""361359502489563"",""action_execution_enabled"":true},{""name"":""exploration"",""starts_at"":1,""lower_confidence_score"":80,""upper_confidence_score"":99,""ends_at"":5,""id"":338,""phase_id"":""phase5"",""ad_account_id"":238,""fb_id"":""361359502489563"",""action_execution_enabled"":true}]",,,134-141
po_sanity_17,"Validate ""Delete Phase"" API","Verify if created phase is getting deleted using ""Delete Phase"" API",P0,DELETE,{{baseUrl}}/api/v1/phases/{{fb_id}}?phase_id={{phase_id}},,,"	Scenario: po_sanity_17: Verify if created phase is getting deleted using ""Delete Phase"" API.
		Given Get data from CSV for ""po_sanity_14""
		When Set the ad account id to ""361359502489563""
		And I set api endpoint to ""set_phases_by_fb_id""
		And Set the body of request to ""body""
		And Perform post
		Given Get data from CSV for ""po_sanity_17""
		When I set api endpoint to ""delete_phase""
		And Perform delete
		Then Validate HTTP response code ""from csv""
		When I set api endpoint to ""read_phases_by_fb_id""
		And Perform get
		Then Validate delete phase",200,,,null,,,142-143
po_sanity_18,"Validate ""Set Rows By Story Id(keywords_settings)"" API","Verify if all parameters are as expected in the ""Set Rows By Story Id(keywords_settings)"" API response.",P0,POST,{{baseUrl}}/api/v1/keywords_settings/{{story_id}},"[{""ad_account_id"":""1826818684"",""low_percentage"":5,""high_percentage"":10,""roi_weight"":50,""quality_weight"":50}]",,"	Scenario: po_sanity_18: Verify if all parameters are as expected in the ""Set Rows By Story Id(keywords_settings)"" API response.
		Given Get data from CSV for ""po_sanity_18""
		When Create story
		And I set api endpoint to ""set_rows_by_story_id_keywords_settings""
		And Set the body of request to ""body""
		And Perform post
		Then Validate HTTP response code ""from csv""
		And Validate keywords_settings response
		And Delete story",201,,,"[{""ad_account_id"":1826818684,""low_percentage"":5,""high_percentage"":10,""roi_weight"":50,""quality_weight"":50,""id"":193,""story_id"":1000677}]",,,144-151
po_sanity_19,"Validate ""Read Rows By Story Id(keywords_settings)"" API","Verify if all parameters are as expected in the ""Read Rows By Story Id(keywords_settings)"" API response.",P0,GET,{{baseUrl}}/api/v1/keywords_settings/{{story_id}},,,"	Scenario: po_sanity_19: Verify if all parameters are as expected in the ""Read Rows By Story Id(keywords_settings)"" API response.
		Given Get data from CSV for ""po_sanity_19""
		When Create story
		And Set keywords_settings for story
		And I set api endpoint to ""read_rows_by_story_id_keywords_settings""
		And Perform get
		Then Validate HTTP response code ""from csv""
		And Validate keywords_settings response
		And Delete story",200,,,"[{""ad_account_id"":1826818684,""low_percentage"":5,""high_percentage"":10,""roi_weight"":50,""quality_weight"":50,""id"":193,""story_id"":1000677}]",,,152-159
po_sanity_20,"Validate ""Delete Rows By Story Id(keywords_settings)"" API","Verify if created keyword settings are getting deleted using ""Delete Rows By Story Id(keywords_settings)"" API",P0,DELETE,{{baseUrl}}/api/v1/keywords_settings/{{story_id}},,,"	Scenario: po_sanity_20: Verify if created keyword settings are getting deleted using ""Delete Rows By Story Id(keywords_settings)"" API.
		Given Get data from CSV for ""po_sanity_20""
		When Create story
		And Set keywords_settings for story
		And I set api endpoint to ""delete_rows_by_story_id_keywords_settings""
		And Perform delete
		Then Validate HTTP response code ""from csv""
		When I set api endpoint to ""read_rows_by_story_id_keywords_settings""
		And Perform get
		When I set api endpoint to ""delete_rows_by_story_id_keywords_settings""
		Then Validate keywords_settings response
		And Delete story",200,,,null,,,160-161
po_sanity_21,"Validate ""Set Rows By Story Id(keywords_metrics)"" API","Verify if all parameters are as expected in the ""Set Rows By Story Id(keywords_metrics)"" API response.",P0,POST,{{baseUrl}}/api/v1/keywords_metrics/{{story_id}},"[{""metric_key"":""gdn_primary_clicks"",""cost_key"":null,""type"":""performance"",""factor"":""quality"",""weight"":50},{""metric_key"":""gdn_primary_clicks"",""cost_key"":null,""type"":""performance"",""factor"":""roi"",""weight"":50}]",,"	Scenario: po_sanity_21: Verify if all parameters are as expected in the ""Set Rows By Story Id(keywords_metrics)"" API response.
		Given Get data from CSV for ""po_sanity_21""
		When Create story
		And I set api endpoint to ""set_rows_by_story_id_keywords_metrics""
		And Set the body of request to ""body""
		And Perform post
		Then Validate HTTP response code ""from csv""
		And Validate keywords_metrics response
		And Delete story",201,,,"[{""ad_account_id"":null,""metric_key"":""gdn_primary_clicks"",""cost_key"":null,""type"":""performance"",""factor"":""quality"",""weight"":50,""id"":30,""story_id"":1001534},{""ad_account_id"":null,""metric_key"":""gdn_primary_clicks"",""cost_key"":null,""type"":""performance"",""factor"":""roi"",""weight"":50,""id"":31,""story_id"":1001534}]",,,162-170
po_sanity_22,"Validate ""Read Rows By Story Id(keywords_metrics)"" API","Verify if all parameters are as expected in the ""Read Rows By Story Id(keywords_metrics)"" API response.",P0,GET,{{baseUrl}}/api/v1/keywords_metrics/{{story_id}},,,"	Scenario: po_sanity_22: Verify if all parameters are as expected in the ""Read Rows By Story Id(keywords_metrics)"" API response.
		Given Get data from CSV for ""po_sanity_22""
		When Create story
		And Set keywords_metrics for story
		And I set api endpoint to ""read_rows_by_story_id_keywords_metrics""
		And Perform get
		Then Validate HTTP response code ""from csv""
		And Validate keywords_metrics response
		And Delete story",200,,,"[{""ad_account_id"":1826818684,""metric_key"":""gdn_primary_clicks"",""cost_key"":""gdn_primary_ctr"",""type"":""performance"",""factor"":""quality"",""weight"":50,""id"":6,""story_id"":1000677},{""ad_account_id"":1826818684,""metric_key"":""gdn_primary_clicks"",""cost_key"":""gdn_primary_ctr"",""type"":""performance"",""factor"":""roi"",""weight"":50,""id"":7,""story_id"":1000677}]",,,171-179
po_sanity_23,"Validate ""Delete Rows By Story Id(keywords_metrics)"" API","Verify if created keywords_metrics are getting deleted using ""Delete Rows By Story Id(keywords_metrics)"" API",P0,DELETE,{{baseUrl}}/api/v1/keywords_metrics/{{story_id}},,,"	Scenario: po_sanity_23: Verify if created keywords_metrics are getting deleted using ""Delete Rows By Story Id(keywords_metrics)"" API.
		Given Get data from CSV for ""po_sanity_23""
		When Create story
		And Set keywords_metrics for story
		And I set api endpoint to ""delete_rows_by_story_id_keywords_metrics""
		And Perform delete
		Then Validate HTTP response code ""from csv""
		When I set api endpoint to ""read_rows_by_story_id_keywords_metrics""
		And Perform get
		When I set api endpoint to ""delete_rows_by_story_id_keywords_metrics""
		Then Validate keywords_metrics response
		And Delete story",200,,,null,,,180-181
